k_fraction,K,rank,rank_normalized,mean_eigenvalue,std_eigenvalue
0.75,94,14,0.14893617021276595,0.23880633369521498,0.006291947186509233
0.75,94,15,0.1595744680851064,0.22971206654400184,0.006973003282670555
0.75,94,16,0.1702127659574468,0.22101886604184848,0.006392926336448668
0.75,94,17,0.18085106382978725,0.2146359281328514,0.006452375236061309
0.75,94,18,0.19148936170212766,0.20766907122767791,0.006706829336197354
0.75,94,19,0.20212765957446807,0.20179067073169782,0.0060837124530043005
0.75,94,20,0.2127659574468085,0.19497411201195733,0.006634595112765685
0.75,94,21,0.22340425531914893,0.18823416487222883,0.005076771079264368
0.75,94,22,0.23404255319148937,0.18261523733809068,0.004934590238076467
0.75,94,23,0.24468085106382978,0.1764677503874664,0.005422535270263629
0.75,94,24,0.2553191489361702,0.17099965614899812,0.00546179783984811
0.75,94,25,0.26595744680851063,0.16599843570716455,0.004833500629618416
0.75,94,26,0.2765957446808511,0.16192005117510244,0.004077245700734724
0.75,94,27,0.2872340425531915,0.1569502572997183,0.003991361260331335
0.75,94,28,0.2978723404255319,0.1520104887746738,0.0037152281981649056
0.75,94,29,0.30851063829787234,0.14747075502719198,0.003879270571019993
0.75,94,30,0.3191489361702128,0.14315814679673308,0.003081331796367477
0.75,94,31,0.32978723404255317,0.1395299364406398,0.0035950323814438324
0.75,94,32,0.3404255319148936,0.1355175470271325,0.003977357791380253
0.75,94,33,0.35106382978723405,0.13146833554937434,0.003907879801548483
0.75,94,34,0.3617021276595745,0.12747322966538635,0.0036233678375409526
0.75,94,35,0.3723404255319149,0.12306704512740589,0.0034153129823246884
0.75,94,36,0.3829787234042553,0.1188933622580689,0.003426873795692286
0.75,94,37,0.39361702127659576,0.11509596774382146,0.003035788707002885
0.75,94,38,0.40425531914893614,0.11071165329832162,0.0027015294895398833
0.75,94,39,0.4148936170212766,0.10680494940859427,0.0028882023530798504
0.75,94,40,0.425531914893617,0.10370475283676785,0.0027580225935160776
0.75,94,41,0.43617021276595747,0.10056410605172929,0.002516106785867883
0.75,94,42,0.44680851063829785,0.09700371742929416,0.002789543431295488
0.75,94,43,0.4574468085106383,0.09369541362816838,0.0026890096781161618
0.75,94,44,0.46808510638297873,0.09090770685504541,0.0025815283364543987
0.75,94,45,0.4787234042553192,0.08773377356334153,0.0029077922416391377
0.75,94,46,0.48936170212765956,0.08486200672146263,0.0030083584178520685
0.75,94,47,0.5,0.08199895856001255,0.002569908585569442
0.75,94,48,0.5106382978723404,0.0786719925542127,0.0024454563114522433
